"Str1","Str2","Str3","freq"
"a","few","week",8
"a","littl","bit",8
"a","littl","more",8
"a","pair","of",8
"all","of","us",8
"as","soon","as",8
"be","in","the",8
"but","i","think",8
"can","tell","you",8
"dont","know","what",8
"earli","in","the",8
"have","a","lot",8
"he","said","the",8
"i","had","to",8
"i","know","that",8
"if","you","have",8
"in","new","york",8
"in","order","to",8
"in","the","citi",8
"in","the","morn",8
"in","the","s",8
"is","in","the",8
"is","the","most",8
"it","as","a",8
"it","will","be",8
"it","would","be",8
"live","in","the",8
"look","at","the",8
"of","the","best",8
"of","the","time",8
"point","in","the",8
"said","he","was",8
"said","in","a",8
"so","i","can",8
"such","as","the",8
"the","back","of",8
"the","first","to",8
"the","number","of",8
"to","be","abl",8
"to","creat","a",8
"to","figur","out",8
"to","see","what",8
"to","work","with",8
"up","in","the",8
"went","to","the",8
"would","like","to",8
"a","bunch","of",7
"a","chanc","to",7
"a","few","year",7
"a","trip","to",7
"a","way","to",7
"a","year","ago",7
"and","it","was",7
"and","this","is",7
"as","i","was",7
"back","in","the",7
"but","it","was",7
"by","the","time",7
"cant","wait","to",7
"check","out","the",7
"come","to","the",7
"due","to","the",7
"for","a","while",7
"for","all","the",7
"for","the","follow",7
"front","of","the",7
"has","been","a",7
"has","been","the",7
"have","a","great",7
"i","feel","like",7
"i","think","i",7
"i","tri","to",7
"i","was","go",7
"if","you","want",7
"in","the","back",7
"in","the","process",7
"in","the","third",7
"is","the","first",7
"it","to","be",7
"it","was","the",7
"know","how","to",7
"lot","of","peopl",7
"of","the","day",7
"on","the","road",7
"one","of","his",7
"one","of","them",7
"part","of","a",7
"peopl","who","are",7
"respons","for","the",7
"said","it","was",7
"said","she","was",7
"so","you","can",7
"that","he","was",7
"that","there","is",7
"the","begin","of",7
"the","best","of",7
"the","book","and",7
"the","chanc","to",7
"the","kind","of",7
"the","problem","is",7
"the","st","loui",7
"there","are","some",7
"there","was","a",7
"there","will","be",7
"this","is","my",7
"those","of","us",7
"to","do","someth",7
"to","me","and",7
"to","take","a",7
"to","the","public",7
"want","it","to",7
"want","to","do",7
"want","to","see",7
"was","abl","to",7
"was","the","first",7
"we","need","to",7
"when","it","was",7
"with","all","the",7
"a","few","day",6
"a","good","thing",6
"a","group","of",6
"a","long","time",6
"a","part","of",6
"addit","to","the",6
"all","the","time",6
"along","the","way",6
"am","go","to",6
"and","as","a",6
"and","how","to",6
"and","i","have",6
"and","then","the",6
"as","a","result",6
"as","a","whole",6
"as","oppos","to",6
"at","the","moment",6
"but","in","the",6
"but","it","is",6
"by","the","way",6
"come","out","of",6
"come","up","with",6
"could","have","been",6
"director","of","the",6
"feel","free","to",6
"for","a","few",6
"for","all","of",6
"get","out","of",6
"get","readi","for",6
"give","you","a",6
"he","said","in",6
"he","want","to",6
"he","was","a",6
"how","to","make",6
"i","am","a",6
"i","am","go",6
"i","can","tell",6
"i","could","have",6
"i","decid","to",6
"i","dont","want",6
"i","found","a",6
"i","have","had",6
"i","hope","you",6
"i","like","to",6
"i","look","at",6
"i","never","had",6
"i","use","to",6
"i","will","be",6
"if","you","can",6
"in","a","small",6
"in","the","air",6
"in","the","car",6
"in","the","game",6
"in","the","hous",6
"in","the","park",6
"in","the","us",6
"is","a","great",6
"is","not","an",6
"is","that","the",6
"is","the","onli",6
"is","to","be",6
"it","a","good",6
"it","look","like",6
"it","turn","out",6
"just","want","to",6
"know","that","i",6
"look","for","a",6
"lot","of","the",6
"me","and","my",6
"no","matter","how",6
"of","be","a",6
"of","my","favorit",6
"of","the","game",6
"of","the","same",6
"on","the","other",6
"one","of","those",6
"out","of","his",6
"out","of","it",6
"over","the","past",6
"part","of","our",6
"place","in","the",6
"return","to","the",6
"set","up","a",6
"size","of","the",6
"so","much","for",6
"suppos","to","be",6
"thank","you","so",6
"that","i","am",6
"that","was","the",6
"that","would","be",6
"the","abil","to",6
"the","first","day",6
"the","first","half",6
"the","idea","of",6
"the","import","of",6
"the","onli","one",6
"the","past","year",6
"the","peopl","of",6
"the","power","of",6
"the","process","of",6
"the","time","of",6
"the","time","the",6
"the","year","old",6
"there","has","been",6
"there","was","no",6
"this","is","what",6
"to","all","the",6
"to","do","a",6
"to","do","so",6
"to","do","this",6
"to","have","him",6
"to","have","the",6
"top","of","the",6
"tri","to","do",6
"tri","to","get",6
"use","as","a",6
"vote","on","the",6
"was","a","big",6
"was","on","the",6
"we","want","to",6
"were","go","to",6
"what","are","you",6
"when","you","are",6
"who","want","to",6
"will","be","a",6
"will","be","the",6
"will","continu","to",6
"would","love","to",6
"you","so","much",6
"a","member","of",5
"a","sort","of",5
"a","ton","of",5
"accord","to","a",5
"all","of","this",5
"all","over","the",5
"amount","of","time",5
"and","a","half",5
"and","a","littl",5
"and","even","though",5
"and","he","said",5
"and","i","had",5
"and","i","want",5
"and","make","it",5
"and","that","is",5
"and","that","the",5
"and","that","was",5
"and","there","is",5
"ani","of","the",5
"as","part","of",5
"at","a","time",5
"base","on","the",5
"be","a","good",5
"be","in","a",5
"be","out","of",5
"be","part","of",5
"be","the","best",5
"but","i","dont",5
"but","i","have",5
"but","if","you",5
"depend","on","the",5
"did","you","know",5
"do","not","have",5
"do","you","have",5
"dont","know","how",5
"dont","want","to",5
"down","by","the",5
"dure","this","time",5
"even","if","you",5
"famili","and","friend",5
"first","time","in",5
"for","a","year",5
"for","more","inform",5
"for","more","than",5
"for","the","next",5
"for","those","who",5
"for","us","to",5
"for","you","to",5
"get","back","to",5
"get","to","see",5
"give","it","a",5
"go","to","happen",5
"go","to","have",5
"go","to","take",5
"had","a","great",5
"happi","birthday","to",5
"have","the","same",5
"he","had","a",5
"he","need","to",5
"he","said","he",5
"he","said","i",5
"head","to","the",5
"i","am","so",5
"i","can","do",5
"i","do","not",5
"i","had","been",5
"i","had","the",5
"i","have","no",5
"i","have","not",5
"i","have","the",5
"i","just","dont",5
"i","just","want",5
"i","know","i",5
"i","love","that",5
"i","tend","to",5
"i","think","she",5
"i","think","they",5
"i","think","we",5
"i’m","go","to",5
"if","i","can",5
"if","i","dont",5
"if","it","was",5
"if","you","do",5
"if","you","dont",5
"im","not","a",5
"im","thank","for",5
"in","a","few",5
"in","a","statement",5
"in","line","for",5
"in","my","head",5
"in","my","life",5
"in","other","word",5
"in","st","loui",5
"in","the","area",5
"in","the","case",5
"in","the","communiti",5
"in","the","earli",5
"in","the","end",5
"in","the","final",5
"in","the","fourth",5
"in","the","futur",5
"in","the","last",5
"in","the","meantim",5
"in","the","nation",5
"in","the","next",5
"in","the","uk",5
"in","the","unit",5
"interest","in","the",5
"is","a","wonder",5
"is","on","the",5
"is","part","of",5
"is","tri","to",5
"it","can","be",5
"it","doesnt","matter",5
"it","go","to",5
"it","was","like",5
"it","was","so",5
"it","was","time",5
"keep","up","with",5
"known","as","the",5
"like","to","be",5
"littl","bit","of",5
"look","at","this",5
"look","like","a",5
"lot","of","time",5
"may","have","been",5
"me","i","am",5
"more","and","more",5
"much","of","the",5
"need","to","do",5
"need","to","get",5
"need","to","go",5
"new","york","citi",5
"not","abl","to",5
"not","to","mention",5
"of","cours","i",5
"of","it","as",5
"of","my","life",5
"of","the","film",5
"of","the","nation",5
"of","the","new",5
"of","thing","that",5
"of","water","and",5
"on","behalf","of",5
"on","the","back",5
"on","the","floor",5
"on","the","ground",5
"on","the","top",5
"on","top","of",5
"out","of","my",5
"out","there","and",5
"over","the","next",5
"part","of","my",5
"particip","in","the",5
"peopl","in","the",5
"play","in","the",5
"rather","than","the",5
"said","i","think",5
"said","it","is",5
"see","if","i",5
"seem","to","have",5
"so","we","can",5
"some","of","them",5
"still","tri","to",5
"take","care","of",5
"that","he","had",5
"that","i","can",5
"that","is","what",5
"that","kind","of",5
"that","she","was",5
"that","they","are",5
"that","was","a",5
"that","you","are",5
"the","author","of",5
"the","book","is",5
"the","citi","of",5
"the","compani","said",5
"the","edg","of",5
"the","first","place",5
"the","head","of",5
"the","key","to",5
"the","major","of",5
"the","next","few",5
"the","night","befor",5
"the","one","who",5
"the","onli","thing",5
"the","opportun","to",5
"the","person","who",5
"the","point","of",5
"the","point","where",5
"the","second","half",5
"the","stori","of",5
"the","time","i",5
"the","way","the",5
"the","way","they",5
"the","white","hous",5
"the","world","is",5
"the","world","of",5
"the","year","and",5
"think","of","it",5
"those","who","are",5
"time","of","the",5
"to","be","here",5
"to","deal","with",5
"to","do","what",5
"to","find","the",5
"to","give","it",5
"to","have","to",5
"to","keep","a",5
"to","listen","to",5
"to","see","a",5
"to","start","the",5
"to","think","about",5
"to","think","of",5
"to","those","who",5
"to","use","the",5
"up","for","the",5
"up","in","a",5
"up","to","the",5
"up","with","the",5
"want","to","go",5
"want","to","keep",5
"want","to","take",5
"want","you","to",5
"was","such","a",5
"we","all","know",5
"we","have","to",5
"what","happen","to",5
"what","kind","of",5
"what","we","do",5
"when","i","get",5
"will","give","you",5
"will","not","be",5
"wish","i","could",5
"with","all","of",5
"work","for","a",5
"would","be","a",5
"would","have","been",5
"you","can","also",5
"you","can","make",5
"you","for","the",5
"you","know","how",5
"you","know","that",5
"you","know","the",5
"you","know","what",5
"a","combin","of",4
"a","fan","of",4
"a","few","minut",4
"a","few","of",4
"a","good","time",4
"a","great","deal",4
"a","great","way",4
"a","look","at",4
"a","lot","more",4
"a","man","who",4
"a","new","bridg",4
"a","pictur","of",4
"a","problem","with",4
"a","recip","for",4
"a","role","in",4
"a","seri","of",4
"a","statement","that",4
"a","varieti","of",4
"a","way","that",4
"a","week","and",4
"about","an","hour",4
"action","in","the",4
"all","about","the",4
"all","of","you",4
"all","the","inform",4
"all","the","way",4
"and","a","few",4
"and","all","the",4
"and","are","not",4
"and","have","to",4
"and","he","was",4
"and","her","husband",4
"and","i","can",4
"and","i","dont",4
"and","i","just",4
"and","it","is",4
"and","lot","of",4
"and","make","a",4
"and","most","of",4
"and","out","of",4
"and","see","if",4
"and","the","citi",4
"and","the","first",4
"and","then","i",4
"and","we","are",4
"and","we","were",4
"and","you","know",4
"are","abl","to",4
"are","in","the",4
"are","not","in",4
"around","the","world",4
"as","if","the",4
"as","it","is",4
"at","least","a",4
"at","some","point",4
"at","the","veri",4
"back","and","forth",4
"back","of","the",4
"be","a","part",4
"be","interest","in",4
"be","sure","to",4
"be","the","first",4
"be","the","most",4
"be","the","same",4
"becaus","of","this",4
"believ","that","it",4
"better","or","wors",4
"birthday","to","me",4
"black","and","white",4
"bring","me","to",4
"but","i","do",4
"by","the","end",4
"can","be","a",4
"can","make","a",4
"cant","wait","for",4
"case","of","the",4
"clean","up","the",4
"click","on","the",4
"come","from","the",4
"come","to","a",4
"compani","said","it",4
"contribut","to","this",4
"could","be","a",4
"day","of","the",4
"didnt","want","to",4
"differ","in","the",4
"do","that","in",4
"do","the","same",4
"do","you","think",4
"dont","forget","to",4
"dont","think","they",4
"dont","worri","about",4
"down","the","street",4
"down","to","the",4
"drink","more","than",4
"earlier","in","the",4
"edg","of","the",4
"end","up","in",4
"few","week","ago",4
"first","time","i",4
"follow","me","on",4
"for","a","week",4
"for","about","minut",4
"for","me","it",4
"for","me","the",4
"for","some","reason",4
"for","the","art",4
"for","the","best",4
"for","the","day",4
"for","the","weekend",4
"for","them","to",4
"for","those","of",4
"for","yard","and",4
"for","you","i",4
"forward","to","see",4
"forward","to","the",4
"found","in","the",4
"friend","of","the",4
"from","per","cent",4
"game","with","a",4
"get","a","job",4
"get","a","littl",4
"get","to","the",4
"give","me","a",4
"give","them","a",4
"glad","to","see",4
"go","to","do",4
"go","to","work",4
"got","out","of",4
"great","way","to",4
"happi","new","year",4
"has","to","be",4
"have","been","there",4
"have","had","a",4
"have","so","much",4
"have","to","admit",4
"he","said","it",4
"he","said","that",4
"he","was","not",4
"head","of","the",4
"hear","the","word",4
"how","can","i",4
"how","to","get",4
"i","am","grate",4
"i","am","readi",4
"i","can","be",4
"i","could","get",4
"i","did","i",4
"i","did","not",4
"i","didnt","want",4
"i","don’t","know",4
"i","dont","get",4
"i","got","a",4
"i","have","made",4
"i","like","the",4
"i","love","how",4
"i","love","the",4
"i","love","this",4
"i","love","you",4
"i","realli","want",4
"i","saw","a",4
"i","thought","id",4
"i","was","ask",4
"i","was","in",4
"i","was","not",4
"i","was","the",4
"i","woke","up",4
"i","would","love",4
"id","like","to",4
"idea","of","a",4
"if","it","is",4
"if","you","ask",4
"if","you","could",4
"if","you","need",4
"if","you","were",4
"in","a","differ",4
"in","a","long",4
"in","and","out",4
"in","high","school",4
"in","new","jersey",4
"in","recent","year",4
"in","the","late",4
"in","the","new",4
"in","the","nfl",4
"in","the","west",4
"in","the","year",4
"in","this","case",4
"in","to","a",4
"in","with","a",4
"is","averag","point",4
"is","call","the",4
"is","much","more",4
"is","not","onli",4
"is","onli","one",4
"is","respons","for",4
"is","so","much",4
"is","such","a",4
"is","the","case",4
"is","to","get",4
"is","whi","i",4
"it","a","great",4
"it","at","the",4
"it","could","be",4
"it","easi","to",4
"it","for","the",4
"it","is","so",4
"it","like","a",4
"it","may","be",4
"it","might","be",4
"it","should","be",4
"it","to","the",4
"it","to","you",4
"it","was","go",4
"late","in","the",4
"later","in","the",4
"less","than","a",4
"listen","to","the",4
"long","as","i",4
"love","to","see",4
"lucki","enough","to",4
"made","up","of",4
"make","it","a",4
"mani","of","them",4
"may","be","the",4
"me","in","the",4
"me","to","the",4
"middl","of","the",4
"million","in","the",4
"more","than","four",4
"more","than","million",4
"more","than","the",4
"more","than","unit",4
"much","for","the",4
"my","best","friend",4
"my","face","and",4
"need","to","have",4
"never","had","a",4
"next","to","the",4
"no","matter","what",4
"not","at","all",4
"not","just","a",4
"not","so","much",4
"not","to","be",4
"now","that","i",4
"of","a","great",4
"of","a","year",4
"of","cours","the",4
"of","it","and",4
"of","peopl","who",4
"of","the","car",4
"of","the","children",4
"of","the","compani",4
"of","the","largest",4
"of","the","matter",4
"of","the","more",4
"of","the","state",4
"of","the","stori",4
"of","the","unit",4
"of","the","week",4
"of","us","who",4
"oil","and","gas",4
"on","a","daili",4
"on","how","to",4
"on","the","site",4
"on","the","third",4
"one","of","sever",4
"onli","one","of",4
"onli","to","be",4
"out","and","i",4
"out","in","the",4
"out","of","a",4
"out","on","the",4
"over","to","the",4
"part","of","it",4
"per","cent","in",4
"percent","from","the",4
"pick","up","the",4
"pleas","follow","me",4
"pm","to","pm",4
"portion","of","the",4
"prepar","for","the",4
"presid","of","the",4
"proport","drink","more",4
"realli","want","to",4
"refer","to","the",4
"said","it","would",4
"said","that","the",4
"she","said","the",4
"sit","on","the",4
"so","i","am",4
"so","i","think",4
"so","it","is",4
"so","much","time",4
"so","that","the",4
"some","kind","of",4
"some","sort","of",4
"someth","like","this",4
"tend","to","get",4
"th","anniversari","of",4
"thank","for","share",4
"thank","you","to",4
"that","at","least",4
"that","i","could",4
"that","i","need",4
"that","it","will",4
"that","look","like",4
"that","she","had",4
"that","there","are",4
"that","they","have",4
"the","art","of",4
"the","bottom","of",4
"the","case","of",4
"the","center","of",4
"the","centr","of",4
"the","corner","of",4
"the","day","will",4
"the","depart","of",4
"the","famili","and",4
"the","feder","govern",4
"the","film","the",4
"the","groceri","store",4
"the","hand","of",4
"the","heart","of",4
"the","histori","of",4
"the","idea","that",4
"the","lack","of",4
"the","most","import",4
"the","need","for",4
"the","new","jersey",4
"the","next","day",4
"the","park","lot",4
"the","past","few",4
"the","past","two",4
"the","possibl","of",4
"the","proport","drink",4
"the","question","is",4
"the","right","thing",4
"the","root","of",4
"the","rule","of",4
"the","side","of",4
"the","son","of",4
"the","sound","of",4
"the","street","of",4
"the","strength","of",4
"the","th","anniversari",4
"the","thing","that",4
"the","time","to",4
"the","world","and",4
"their","live","to",4
"there","are","a",4
"there","are","mani",4
"there","was","some",4
"thing","to","do",4
"thing","to","say",4
"think","it","was",4
"think","they","are",4
"this","is","not",4
"this","is","whi",4
"this","will","be",4
"this","year","but",4
"thought","i","was",4
"time","i","have",4
"to","a","new",4
"to","assum","that",4
"to","be","done",4
"to","be","good",4
"to","be","one",4
"to","check","out",4
"to","come","out",4
"to","come","to",4
"to","do","the",4
"to","everyon","who",4
"to","find","out",4
"to","get","it",4
"to","get","some",4
"to","get","this",4
"to","give","you",4
"to","have","an",4
"to","know","the",4
"to","leav","the",4
"to","look","at",4
"to","make","this",4
"to","me","i",4
"to","on","the",4
"to","pay","for",4
"to","per","cent",4
"to","protect","the",4
"to","save","the",4
"to","say","that",4
"to","see","him",4
"to","take","the",4
"to","the","court",4
"to","the","point",4
"to","the","tabl",4
"to","the","top",4
"to","tri","to",4
"to","use","it",4
"to","work","on",4
"told","me","that",4
"tri","not","to",4
"tri","to","keep",4
"tri","to","make",4
"tri","to","put",4
"two","year","ago",4
"up","to","a",4
"use","to","be",4
"vice","presid","of",4
"view","of","the",4
"want","a","new",4
"want","to","know",4
"want","to","make",4
"want","to","put",4
"want","to","say",4
"was","ask","to",4
"was","charg","with",4
"was","elect","in",4
"was","in","it",4
"was","suppos","to",4
"was","tri","to",4
"we","are","do",4
"we","had","a",4
"we","have","been",4
"went","on","to",4
"what","a","great",4
"what","i","want",4
"what","it","mean",4
"what","to","do",4
"what","you","need",4
"while","i","was",4
"who","has","been",4
"will","be","held",4
"with","lot","of",4
"with","the","idea",4
"with","the","kid",4
"work","in","a",4
"work","in","the",4
"work","with","the",4
"worri","about","the",4
"would","not","be",4
"year","ago","the",4
"you","and","your",4
"you","are","not",4
"you","have","the",4
"you","will","be",4
"you","will","find",4
"you","will","see",4
"a","daili","basi",3
"a","deep","run",3
"a","few","more",3
"a","glass","of",3
"a","good","choic",3
"a","good","one",3
"a","good","team",3
"a","gorgeous","day",3
"a","great","day",3
"a","great","place",3
"a","great","time",3
"a","hard","cap",3
"a","kick","out",3
"a","littl","over",3
"a","long","term",3
"a","lot","and",3
"a","lot","to",3
"a","matter","of",3
"a","photo","of",3
"a","piec","of",3
"a","reason","to",3
"a","record","of",3
"a","result","of",3
"a","sens","of",3
"a","spokesman","for",3
"a","teacher","and",3
"a","th","centuri",3
"a","time","when",3
"a","vote","on",3
"a","wide","varieti",3
"a","year","and",3
"a","year","to",3
"a","young","adult",3
"abl","to","do",3
"access","to","the",3
"across","the","countri",3
"across","the","street",3
"act","as","a",3
"add","to","the",3
"advantag","of","the",3
"agre","with","the",3
"all","i","know",3
"all","of","them",3
"all","three","of",3
"all","time","high",3
"all","time","low",3
"allow","you","to",3
"also","said","he",3
"also","year","old”",3
"am","at","the",3
"am","not","a",3
"am","readi","to",3
"am","to","pm",3
"an","agreement","that",3
"an","attempt","to",3
"an","averag","of",3
"and","a","big",3
"and","creat","a",3
"and","decid","to",3
"and","director","of",3
"and","dont","forget",3
"and","has","been",3
"and","have","a",3
"and","he","has",3
"and","his","wife",3
"and","i","are",3
"and","i","couldnt",3
"and","i","do",3
"and","i","havent",3
"and","i","knew",3
"and","i","will",3
"and","i","would",3
"and","in","the",3
"and","is","now",3
"and","ive","been",3
"and","mani","other",3
"and","million","in",3
"and","of","cours",3
"and","on","the",3
"and","she","was",3
"and","should","be",3
"and","some","of",3
"and","stuff","like",3
"and","that","i",3
"and","the","best",3
"and","the","depart",3
"and","the","other",3
"and","the","rest",3
"and","the","result",3
"and","then","beat",3
"and","then","she",3
"and","they","are",3
"and","they","will",3
"and","we","will",3
"and","what","they",3
"and","when","i",3
"and","while","i",3
"and","will","be",3
"ani","more","than",3
"ani","of","them",3
"appear","to","have",3
"are","a","few",3
"are","awar","of",3
"are","do","well",3
"are","get","a",3
"are","look","for",3
"are","on","the",3
"are","readi","to",3
"are","too","mani",3
"are","tri","to",3
"argu","that","the",3
"around","the","hous",3
"as","a","report",3
"as","a","senior",3
"as","a","teacher",3
"as","a","young",3
"as","good","as",3
"as","high","as",3
"as","i","have",3
"as","i","know",3
"as","i","love",3
"as","it","turn",3
"as","littl","as",3
"as","the","one",3
"as","well","the",3
"as","you","are",3
"ask","for","a",3
"ask","if","he",3
"associ","with","the",3
"at","least","one",3
"at","the","begin",3
"at","the","point",3
"attorney","for","the",3
"aunt","and","uncl",3
"awar","of","the",3
"away","from","the",3
"back","at","the",3
"back","into","the",3
"back","on","track",3
"back","to","my",3
"bake","for","minut",3
"be","a","littl",3
"be","on","the",3
"be","use","for",3
"becaus","i","have",3
"becaus","it","was",3
"becaus","of","a",3
"becaus","of","his",3
"becaus","there","are",3
"been","one","of",3
"begin","of","the",3
"behind","the","scene",3
"best","interest","of",3
"best","of","the",3
"best","way","to",3
"better","than","the",3
"bill","of","right",3
"book","to","read",3
"both","side","of",3
"bottom","line","is",3
"but","at","the",3
"but","did","not",3
"but","i","also",3
"but","i","am",3
"but","i","feel",3
"but","i","was",3
"but","of","cours",3
"but","that","is",3
"but","that","would",3
"but","they","can",3
"but","they","were",3
"but","this","is",3
"but","we","are",3
"but","we","have",3
"but","when","you",3
"by","one","of",3
"cake","cake","cake",3
"call","for","a",3
"call","to","the",3
"came","in","the",3
"can","be","done",3
"can","still","be",3
"cant","wait","until",3
"care","of","the",3
"caught","in","a",3
"caught","up","in",3
"center","for","the",3
"chairman","of","the",3
"chang","from","the",3
"charact","in","the",3
"check","it","out",3
"compar","to","percent",3
"congrat","on","the",3
"continu","to","have",3
"control","of","the",3
"counti","depart","of",3
"cup","of","coffe",3
"day","after","the",3
"day","ago","i",3
"day","at","the",3
"day","im","go",3
"day","in","the",3
"day","to","see",3
"day","will","be",3
"deal","with","the",3
"decid","it","was",3
"decid","not","to",3
"decid","that","we",3
"decid","to","go",3
"depend","on","how",3
"did","not","have",3
"didn’t","want","to",3
"do","a","lot",3
"do","it","to",3
"do","not","know",3
"do","not","open",3
"do","we","have",3
"do","with","the",3
"do","you","do",3
"don’t","have","to",3
"don’t","want","to",3
"dont","have","a",3
"dont","know","if",3
"dont","think","so",3
"down","on","the",3
"dream","last","night",3
"dure","the","day",3
"each","of","them",3
"each","of","us",3
"earlier","this","month",3
"earlier","this","week",3
"els","in","the",3
"end","in","a",3
"end","up","with",3
"energi","of","the",3
"enough","to","be",3
"even","go","to",3
"even","have","to",3
"everyon","els","in",3
"exact","what","i",3
"excit","to","see",3
"execut","director","of",3
"explain","whi","he",3
"fact","of","the",3
"fact","that","the",3
"feel","in","the",3
"feel","like","it",3
"few","year","and",3
"figur","out","what",3
"first","day","of",3
"first","three","quarter",3
"first","time","and",3
"focus","on","the",3
"follow","me","i",3
"for","a","bit",3
"for","a","full",3
"for","a","new",3
"for","an","hour",3
"for","me","i",3
"for","the","most",3
"for","the","music",3
"for","the","past",3
"for","the","sake",3
"for","the","student",3
"for","them","and",3
"for","this","week",3
"former","republican","gov",3
"founder","of","the",3
"four","of","the",3
"free","trade","agreement",3
"friend","and","famili",3
"from","new","york",3
"from","the","citi",3
"from","the","field",3
"from","the","floor",3
"from","the","moment",3
"from","the","new",3
"game","of","the",3
"game","this","season",3
"georg","w","bush",3
"get","back","on",3
"get","into","a",3
"get","on","the",3
"get","readi","to",3
"get","the","best",3
"give","her","the",3
"give","it","to",3
"give","us","a",3
"give","you","the",3
"go","for","the",3
"go","to","make",3
"go","to","sit",3
"go","to","use",3
"goal","of","the",3
"got","to","get",3
"great","depress","of",3
"great","to","meet",3
"had","been","a",3
"had","come","to",3
"had","not","been",3
"had","one","of",3
"had","the","pleasur",3
"had","to","have",3
"hall","of","fame",3
"happen","in","the",3
"happen","to","be",3
"has","been","on",3
"have","a","long",3
"have","a","veri",3
"have","access","to",3
"have","been","the",3
"have","to","ask",3
"have","to","do",3
"have","to","get",3
"have","to","make",3
"have","to","worri",3
"he","and","his",3
"he","did","not",3
"he","had","been",3
"he","had","no",3
"he","need","help",3
"he","said","is",3
"he","said","of",3
"he","use","to",3
"he","was","also",3
"he","was","do",3
"he","was","in",3
"he","would","make",3
"heart","of","the",3
"here","are","some",3
"here","are","the",3
"here","we","go",3
"hes","a","great",3
"high","school","and",3
"him","in","the",3
"his","home","in",3
"hope","to","see",3
"how","mani","time",3
"how","to","be",3
"i","ask","her",3
"i","can","find",3
"i","can","get",3
"i","can","see",3
"i","cant","wait",3
"i","did","it",3
"i","didnt","know",3
"i","didnt","think",3
"i","don’t","think",3
"i","dont","care",3
"i","dont","even",3
"i","dont","have",3
"i","dont","like",3
"i","find","myself",3
"i","found","the",3
"i","get","it",3
"i","go","to",3
"i","got","my",3
"i","got","the",3
"i","guess","i",3
"i","have","heard",3
"i","hope","that",3
"i","hope","to",3
"i","knew","i",3
"i","know","im",3
"i","know","is",3
"i","know","it’",3
"i","know","the",3
"i","live","in",3
"i","love","it",3
"i","love","these",3
"i","made","the",3
"i","may","have",3
"i","miss","you",3
"i","realiz","that",3
"i","realli","love",3
"i","rememb","that",3
"i","say","that",3
"i","see","you",3
"i","think","hes",3
"i","think","im",3
"i","think","is",3
"i","think","of",3
"i","thought","of",3
"i","thought","that",3
"i","thought","the",3
"i","told","her",3
"i","took","the",3
"i","was","a",3
"i","was","abl",3
"i","was","just",3
"i","was","say",3
"i","was","so",3
"i","was","still",3
"i","went","back",3
"i","will","have",3
